,date,nav
2542,12-02-2016,30.17160
2543,11-02-2016,30.48320
2544,10-02-2016,31.64890
2545,09-02-2016,32.05790
2546,08-02-2016,32.14410
2547,05-02-2016,32.18700
2548,04-02-2016,32.01130
2549,03-02-2016,32.15050
2550,02-02-2016,32.57900
2551,01-02-2016,32.68270
2552,29-01-2016,32.50660
2553,28-01-2016,32.38490
2554,27-01-2016,32.37670
2555,25-01-2016,32.34290
2556,22-01-2016,32.17950
2557,21-01-2016,31.41280
2558,20-01-2016,31.36990
2559,19-01-2016,31.94170
2560,18-01-2016,31.67020
2561,15-01-2016,32.83790
2562,14-01-2016,33.63420
2563,13-01-2016,33.91980
2564,12-01-2016,34.51430
2565,11-01-2016,35.11810
2566,08-01-2016,35.15480
2567,07-01-2016,34.60330
2568,06-01-2016,35.57220
2569,05-01-2016,35.95440
2570,04-01-2016,35.74240
2571,01-01-2016,36.03910
2572,31-12-2015,35.71920
2573,30-12-2015,35.41890
2574,29-12-2015,35.12310
2575,28-12-2015,34.96750
2576,24-12-2015,34.69240
2577,23-12-2015,34.46280
2578,22-12-2015,34.21950
2579,21-12-2015,34.16700
2580,18-12-2015,33.93210
2581,17-12-2015,34.04630
2582,16-12-2015,33.39130
2583,15-12-2015,33.39620
2584,14-12-2015,33.09790
2585,11-12-2015,33.06820
2586,10-12-2015,33.24740
2587,09-12-2015,32.87100
2588,08-12-2015,33.29440
2589,07-12-2015,33.66030
2590,04-12-2015,33.69400
2591,03-12-2015,33.79750
2592,02-12-2015,33.83270
2593,01-12-2015,33.51860
2594,30-11-2015,33.51970
2595,27-11-2015,33.55680
2596,26-11-2015,33.42750
2597,24-11-2015,33.49780
2598,23-11-2015,33.63070
2599,20-11-2015,33.48420
2600,19-11-2015,33.26480
2601,18-11-2015,32.78620
2602,17-11-2015,33.14200
2603,16-11-2015,32.83990
2604,13-11-2015,32.89940
2605,10-11-2015,32.87830
2606,09-11-2015,33.08260
2607,06-11-2015,32.68370
2608,05-11-2015,32.93800
2609,04-11-2015,33.26050
2610,03-11-2015,33.32800
2611,02-11-2015,32.94900
2612,30-10-2015,33.18140
2613,29-10-2015,33.23730
2614,28-10-2015,33.33720
2615,27-10-2015,33.40530
2616,26-10-2015,33.26410
2617,23-10-2015,33.52740
2618,21-10-2015,33.62670
2619,20-10-2015,33.56050
2620,19-10-2015,33.31660
